TotalTime;SegmentTime;XTran1;YTran1;ZTran1;XTran2;YTran2;ZTran2;cXTran;cYTran;cZTran
27.79015;0.0192772;0.0491642;0.7716781;0.3183288;-0.03254825;0.800098;0.4592688;-0.08171245;0.0284199;0.14094
27.81338;0.0425054;0.04937246;0.771792;0.3180695;-0.0323355;0.8002141;0.4590107;-0.08170796;0.0284221;0.1409412
27.83661;0.0657333;0.04954122;0.7716174;0.3177636;-0.0321704;0.8000447;0.4587022;-0.08171162;0.0284273;0.1409386
27.8589;0.088031;0.04956454;0.7714487;0.3175047;-0.03213902;0.7998788;0.4584454;-0.08170356;0.0284301;0.1409407
27.88234;0.1114679;0.04932337;0.7714341;0.3177445;-0.03237329;0.7998596;0.4586892;-0.08169666;0.0284255;0.1409447
27.90915;0.1382777;0.04903712;0.7714167;0.31828;-0.03265503;0.7998452;0.4592261;-0.08169215;0.0284285;0.1409461
27.93115;0.1602724;0.04851406;0.7712159;0.3187978;-0.03317111;0.7996426;0.4597468;-0.08168517;0.0284267;0.140949
27.95473;0.1838533;0.048364;0.7711855;0.3187607;-0.0333083;0.7996134;0.4597137;-0.0816723;0.0284279;0.140953
27.97735;0.2064755;0.04841952;0.7714759;0.3186446;-0.03323843;0.7999086;0.4596012;-0.08165795;0.0284327;0.1409566
28.00059;0.2297161;0.04865668;0.771826;0.3186904;-0.03298084;0.8002544;0.4596556;-0.08163752;0.0284284;0.1409652
28.02366;0.2527856;0.04898614;0.7718842;0.3187397;-0.03264607;0.800305;0.4597093;-0.08163221;0.0284208;0.1409696
28.04787;0.2769958;0.04931758;0.7716808;0.3186472;-0.03231463;0.8001016;0.4596169;-0.08163221;0.0284208;0.1409697
28.06924;0.2983703;0.04971981;0.7712839;0.3180173;-0.03190828;0.799703;0.4589892;-0.08162809;0.0284191;0.1409719
28.09222;0.3213481;0.05015513;0.7709535;0.3172167;-0.03147177;0.799373;0.4581887;-0.0816269;0.0284195;0.140972
28.11591;0.3450393;0.05037025;0.7702932;0.3173702;-0.03125472;0.7986941;0.4583449;-0.08162497;0.0284009;0.1409747
28.14623;0.3753563;0.04989867;0.7703352;0.3177893;-0.0317308;0.7986969;0.4587666;-0.08162947;0.0283617;0.1409773
28.16759;0.3967117;0.0494224;0.770685;0.3182081;-0.03219418;0.7990061;0.459197;-0.08161658;0.0283211;0.1409889
28.1904;0.4195293;0.04914575;0.7708943;0.3183534;-0.03247872;0.799212;0.4593346;-0.08162447;0.0283177;0.1409812
28.21391;0.443032;0.04890171;0.7710588;0.3183954;-0.03271992;0.7993592;0.4593796;-0.08162163;0.0283004;0.1409842
28.24058;0.4697096;0.04859828;0.7710359;0.3186772;-0.03301129;0.7993091;0.4596711;-0.08160957;0.0282732;0.1409939
28.26067;0.4897922;0.04862029;0.7709633;0.3188146;-0.03299888;0.7992438;0.4598015;-0.08161917;0.0282805;0.1409869
28.28487;0.5139969;0.04896357;0.7709386;0.3187165;-0.03264787;0.7992212;0.4597054;-0.08161144;0.0282826;0.1409889
28.31288;0.5420055;0.04895997;0.7710883;0.3186572;-0.03267485;0.7993537;0.4596362;-0.08163482;0.0282654;0.140979
28.33169;0.5608119;0.0485605;0.7711575;0.3188961;-0.03306768;0.7994288;0.4598757;-0.08162818;0.0282713;0.1409796
28.35747;0.5865909;0.04794179;0.7710984;0.3195001;-0.03367961;0.7993685;0.4604823;-0.0816214;0.0282701;0.1409822
28.38206;0.6111861;0.04806319;0.7710099;0.3195291;-0.03355483;0.7992776;0.4605134;-0.08161802;0.0282677;0.1409843
28.40419;0.6333192;0.04852132;0.7710042;0.3189734;-0.03307813;0.7992695;0.4599649;-0.08159945;0.0282653;0.1409915
28.42694;0.6560607;0.04933711;0.7710952;0.3181489;-0.03225664;0.7993554;0.4591441;-0.08159375;0.0282602;0.1409952
28.45069;0.6798118;0.04995194;0.7710896;0.3177563;-0.03164561;0.7993453;0.4587515;-0.08159755;0.0282557;0.1409952
28.47584;0.7049695;0.05032595;0.7712445;0.3175191;-0.03129798;0.7994623;0.4585121;-0.08162393;0.0282178;0.140993
28.50033;0.7294598;0.05035716;0.7712256;0.3174089;-0.03128044;0.7994362;0.4583945;-0.0816376;0.0282106;0.1409856
28.52449;0.7536122;0.05021411;0.771135;0.3176076;-0.03146001;0.7992444;0.4585894;-0.08167412;0.0281094;0.1409818
28.54678;0.7759039;0.04971318;0.771099;0.3179785;-0.03193844;0.7992145;0.4589638;-0.08165162;0.0281155;0.1409853
28.56914;0.7982627;0.04897845;0.7710727;0.3182758;-0.03267234;0.7992002;0.4592585;-0.08165079;0.0281275;0.1409827
28.59192;0.8210526;0.04861984;0.771431;0.3187607;-0.03303134;0.7995588;0.4597441;-0.08165118;0.0281278;0.1409834
28.61666;0.8457851;0.04862224;0.7719908;0.3189571;-0.03304759;0.8000873;0.4599385;-0.08166983;0.0280965;0.1409814
28.63973;0.8688557;0.04845253;0.7720222;0.3187278;-0.03328273;0.8000489;0.4596927;-0.08173526;0.0280267;0.1409649
28.66369;0.8928207;0.04858661;0.7718874;0.3181737;-0.03314207;0.7999165;0.4591399;-0.08172868;0.0280291;0.1409662
28.68859;0.9177108;0.0495726;0.771808;0.317818;-0.03223111;0.7998452;0.4587513;-0.08180371;0.0280372;0.1409333
28.71497;0.9440956;0.04997101;0.7716746;0.3176807;-0.03185751;0.7997354;0.4586014;-0.08182852;0.0280608;0.1409207
28.73582;0.9649488;0.05019055;0.7714418;0.3175776;-0.03170003;0.7995183;0.4584654;-0.08189058;0.0280765;0.1408878
28.75872;0.9878479;0.0504429;0.7712538;0.317311;-0.03143654;0.7993196;0.4582036;-0.08187944;0.0280658;0.1408926
28.78119;1.01031;0.0504889;0.7711093;0.317351;-0.03138494;0.7991852;0.4582423;-0.08187384;0.0280759;0.1408913
28.80708;1.036206;0.05012408;0.7709531;0.3178062;-0.03174654;0.7990074;0.4586971;-0.08187062;0.0280543;0.1408909
28.82715;1.056276;0.0495491;0.7709528;0.3180551;-0.03231191;0.7990227;0.4589441;-0.08186101;0.0280699;0.140889
28.84953;1.078654;0.04935675;0.7711731;0.3180224;-0.03251623;0.7992057;0.4589139;-0.08187298;0.0280326;0.1408915
28.87519;1.104313;0.04912953;0.7710666;0.3182388;-0.03278866;0.7990435;0.4591181;-0.08191819;0.0279769;0.1408793
28.90048;1.129601;0.04889321;0.7710298;0.3184874;-0.03300776;0.7989519;0.4593762;-0.08190097;0.0279221;0.1408888
28.92464;1.15377;0.04868733;0.7710289;0.3186255;-0.03318733;0.7989706;0.4595171;-0.08187466;0.0279417;0.1408916
28.94673;1.175857;0.04849976;0.7709546;0.318867;-0.0333678;0.7988977;0.4597614;-0.08186756;0.0279431;0.1408944
28.96914;1.198269;0.04856374;0.7708789;0.3187641;-0.03330489;0.7988173;0.4596597;-0.08186863;0.0279384;0.1408956
28.99198;1.221106;0.04872858;0.7708572;0.3184944;-0.03315201;0.7987951;0.459387;-0.08188059;0.0279379;0.1408926
