TotalTime;SegmentTime;XTran1;YTran1;ZTran1;XTran2;YTran2;ZTran2;cXTran;cYTran;cZTran
56.80719;1.226295;0.04440411;0.7646866;0.3059087;-0.02057832;0.785799;0.4579602;-0.06498243;0.0211124;0.1520515
56.83161;1.250715;0.04284448;0.7644122;0.3064064;-0.02206108;0.7854682;0.4584995;-0.06490556;0.021056;0.1520931
56.85505;1.274155;0.04155323;0.7648667;0.3079664;-0.02332718;0.7859343;0.4600677;-0.06488041;0.0210676;0.1521013
56.88183;1.30093;0.04158042;0.7655945;0.3091616;-0.02331122;0.7866886;0.4612552;-0.06489164;0.0210941;0.1520936
56.9058;1.324898;0.04233205;0.7662483;0.3095732;-0.02256139;0.7873392;0.4616668;-0.06489344;0.0210909;0.1520936
56.93501;1.354111;0.04308086;0.7664667;0.3086323;-0.02181913;0.7875565;0.4607248;-0.06489999;0.0210898;0.1520925
56.9645;1.3836;0.04391876;0.7662654;0.307408;-0.02096391;0.7873521;0.4595081;-0.06488267;0.0210867;0.1521001
56.98386;1.402966;0.04433313;0.7660524;0.3067333;-0.02056189;0.7871366;0.4588303;-0.06489502;0.0210842;0.152097
57.00715;1.426253;0.04423793;0.7655124;0.3066308;-0.02064562;0.7865801;0.4587349;-0.06488355;0.0210677;0.1521041
57.03479;1.453892;0.04351398;0.7649642;0.3067418;-0.02137468;0.7860391;0.4588436;-0.06488866;0.0210749;0.1521018
57.06099;1.480099;0.04335596;0.7642239;0.3068314;-0.02153709;0.7853019;0.4589309;-0.06489305;0.021078;0.1520995
57.08708;1.506186;0.04365277;0.7636432;0.3066337;-0.02123545;0.7847255;0.4587342;-0.06488822;0.0210823;0.1521005
57.11022;1.529329;0.04408486;0.7630757;0.3061512;-0.02078978;0.7841659;0.4582566;-0.06487464;0.0210902;0.1521054
57.14191;1.561022;0.0445579;0.7629685;0.3059425;-0.02029788;0.7840602;0.4580595;-0.06485578;0.0210917;0.152117
57.16879;1.587893;0.04496746;0.7630268;0.3061101;-0.01988572;0.7841167;0.4582326;-0.06485318;0.0210899;0.1521225
57.19572;1.614826;0.04515554;0.7634942;0.306712;-0.01971772;0.7845769;0.4588334;-0.06487326;0.0210827;0.1521214
57.21569;1.634804;0.04428047;0.764766;0.3078226;-0.02057804;0.7858261;0.4599562;-0.06485851;0.0210601;0.1521336
57.24585;1.664961;0.04331189;0.7654576;0.3088061;-0.02153197;0.7865338;0.4609418;-0.06484386;0.0210762;0.1521357
57.2741;1.693213;0.04274432;0.765745;0.3086738;-0.0221071;0.7868496;0.4608023;-0.06485142;0.0211046;0.1521285
57.29445;1.713563;0.04276974;0.7657192;0.3078964;-0.02203304;0.7868207;0.4600449;-0.06480278;0.0211015;0.1521485
57.31922;1.738327;0.04343266;0.7654164;0.3069431;-0.02137199;0.7865016;0.4590971;-0.06480465;0.0210852;0.152154
57.35099;1.770098;0.04417076;0.765259;0.3063035;-0.02059987;0.7863547;0.4584707;-0.06477063;0.0210957;0.1521672
57.36523;1.784337;0.04495104;0.7648386;0.3058463;-0.0198257;0.7859547;0.4580113;-0.06477674;0.0211161;0.152165
57.39356;1.812666;0.04475532;0.7646172;0.3062944;-0.02000993;0.7857456;0.4584648;-0.06476525;0.0211284;0.1521704
57.4247;1.84381;0.0442495;0.7643236;0.3070461;-0.02052342;0.7854466;0.4592146;-0.06477292;0.021123;0.1521685
57.44598;1.865092;0.04358408;0.764218;0.3075587;-0.02114941;0.7853689;0.4597395;-0.06473349;0.0211509;0.1521808
57.48099;1.900094;0.04299663;0.7643003;0.3078244;-0.02173582;0.7854459;0.4600085;-0.06473245;0.0211456;0.1521841
57.50323;1.922334;0.04278426;0.764142;0.3080676;-0.02196314;0.7852888;0.4602471;-0.0647474;0.0211468;0.1521795
57.52632;1.945426;0.0426961;0.7641463;0.3080938;-0.02205231;0.7852955;0.460273;-0.06474841;0.0211492;0.1521792
57.55816;1.977266;0.04277188;0.7642651;0.3082979;-0.02197573;0.7854176;0.4604766;-0.06474761;0.0211525;0.1521787
57.59312;2.012223;0.04275003;0.7643822;0.3081664;-0.02199415;0.7855374;0.4603457;-0.06474418;0.0211552;0.1521793
57.61362;2.032726;0.0427714;0.7645278;0.3079;-0.02197026;0.7856984;0.4600773;-0.06474166;0.0211706;0.1521773
