TotalTime;SegmentTime;XTran1
5.914828;0.0351347;-0.07297213
5.932969;0.0532751;-0.07273267
5.955025;0.0753311;-0.07225478
5.980044;0.1003505;-0.07162307
6.003394;0.1237002;-0.07101911
6.025149;0.145456;-0.07082064
6.045987;0.1662936;-0.07095438
6.072936;0.1932421;-0.07141451
6.09808;0.2183864;-0.07165038
6.122292;0.2425984;-0.07225106
6.145216;0.2655224;-0.0731519
6.165711;0.286018;-0.07361059
6.186983;0.3072896;-0.07378148
6.213511;0.3338185;-0.07346737
6.235238;0.3555451;-0.07331022
6.260894;0.3812007;-0.07346478
6.288254;0.4085611;-0.07368764
6.315037;0.4353434;-0.07375392
6.332826;0.4531325;-0.07369087
6.36143;0.4817368;-0.07319617
6.37635;0.496657;-0.07238
6.399622;0.5199291;-0.07198594
6.422961;0.5432672;-0.07167029
6.446931;0.5672379;-0.07150171
6.469346;0.5896523;-0.07141925
6.492507;0.6128143;-0.07146285
6.520997;0.6413034;-0.07170792
6.544868;0.6651747;-0.07192703
6.564059;0.6843662;-0.07197153
6.591266;0.7115726;-0.07169992
6.609486;0.7297933;-0.07145017
6.634329;0.7546359;-0.07140379
6.658242;0.7785493;-0.07153248
6.686041;0.8063483;-0.07164223
6.70738;0.827687;-0.07165708
6.733954;0.8542613;-0.07160729
6.754385;0.874692;-0.07148637
6.779037;0.899345;-0.07155515
6.803392;0.9236994;-0.07156281
6.826373;0.9466807;-0.0714654
6.855165;0.975472;-0.07124974
6.875241;0.9955481;-0.07095245
6.900838;1.021145;-0.07059116
6.921983;1.04229;-0.07047322
6.943549;1.063856;-0.07031832
6.969929;1.090236;-0.0702194
6.997798;1.118105;-0.07011061
7.022933;1.143239;-0.07007451
7.045479;1.165785;-0.07005201
7.064457;1.184764;-0.07010714
7.089828;1.210134;-0.07022898
7.113923;1.234229;-0.07037645
7.140635;1.260941;-0.07046613
7.16273;1.283036;-0.07047319
7.188147;1.308453;-0.07051387
7.207978;1.328284;-0.07056899
7.231045;1.351351;-0.07052222
7.254491;1.374798;-0.0704468
7.276829;1.397135;-0.0704565
7.303027;1.423334;-0.07061415
7.326159;1.446465;-0.07082045
7.348242;1.468549;-0.07098941
7.372216;1.492523;-0.07112598
7.397957;1.518264;-0.07113448
7.419826;1.540132;-0.07103333
7.44619;1.566496;-0.07089736
7.466095;1.586401;-0.07086077
7.489455;1.609761;-0.07095481
7.513281;1.633587;-0.07112163
7.539628;1.659933;-0.07136881
7.563898;1.684204;-0.07157159
7.591842;1.712148;-0.07157392
7.610566;1.730872;-0.07157589
7.632325;1.752631;-0.07155608
7.656507;1.776813;-0.07151296
7.684995;1.8053;-0.07156823
7.705904;1.82621;-0.07163849
7.729718;1.850023;-0.07171155
7.753768;1.874074;-0.07182805
7.777752;1.898058;-0.07195551
7.798868;1.919173;-0.07210199
7.822875;1.943181;-0.07209592
7.846913;1.967218;-0.07187197
7.86616;1.986466;-0.07167073
7.887729;2.008034;-0.07162237
7.910647;2.030953;-0.07170183
7.933846;2.054152;-0.07174475
7.956124;2.07643;-0.07178111
7.98399;2.104295;-0.07185692
8.011036;2.131341;-0.07205416
8.034816;2.155122;-0.07228015
8.058561;2.178868;-0.07254577
8.082271;2.202577;-0.0729136
8.108482;2.228788;-0.07309486
8.13218;2.252486;-0.07324844
8.154894;2.2752;-0.07321172
8.179062;2.299368;-0.07309178
8.199433;2.319739;-0.07307049
8.2235;2.343806;-0.07312665
8.246864;2.36717;-0.07313528
8.274234;2.394539;-0.07309985
8.294952;2.415258;-0.07297058
8.323792;0.0288396;-0.07271033
8.340509;0.0455569;-0.07246967
8.363253;0.0683003;-0.07239533
8.387852;0.0928991;-0.07231364
8.414044;0.1190914;-0.07214087
8.435078;0.1401247;-0.07180389
8.461554;0.1666008;-0.07104833
8.490466;0.1955135;-0.06994424
8.512008;0.2170554;-0.06832766
8.534451;0.2394984;-0.06721646
8.554461;0.2595085;-0.0665029
8.583851;0.2888993;-0.06433871
8.608338;0.3133864;-0.06122558
8.629763;0.3348109;-0.0571008
8.655815;0.3608629;-0.0527051
8.679686;0.3847334;-0.04685225
8.701705;0.4067529;-0.03837503
8.720802;0.4258507;-0.03094026
8.744354;0.4494027;-0.02284013
8.767772;0.4728206;-0.01529503
8.793011;0.4980596;-0.007230006
8.81778;0.5228296;0.002228025
8.843129;0.5481785;0.01039889
8.869232;0.5742813;0.01740918
8.887651;0.5927006;0.02523644
8.913906;0.6189556;0.03286664
8.940482;0.6455313;0.04014302
8.963903;0.6689524;0.04582829
8.985973;0.6910223;0.05136506
9.01127;0.7163182;0.05687194
9.035226;0.7402747;0.06266594
9.057162;0.762211;0.06631912
9.085941;0.7909898;0.06983475
9.113676;0.8187248;0.07072604
9.135604;0.8406529;0.07103938
9.158224;0.8632734;0.07158856
9.178026;0.8830752;0.07232291
9.20095;0.9059987;0.07268715
9.226048;0.9310975;0.07215478
9.255103;0.9601523;0.07065822
9.279441;0.9844899;0.06857732
9.302949;1.007998;0.0666804
9.326548;1.031597;0.06528286
9.346539;1.051587;0.0640932
9.373126;1.078174;0.06294721
9.396601;1.10165;0.06281122
9.420415;1.125463;0.06316239
9.443684;1.148732;0.06343796
9.460506;1.165555;0.06434172
9.495478;1.200527;0.06482869
9.515102;1.220151;0.06514966
9.541514;1.246563;0.06599386
9.566571;1.271619;0.0664177
9.590486;1.295534;0.0667321
9.616653;1.321702;0.06712118
9.639852;1.3449;0.06770395
9.663204;1.368253;0.0680293
9.689301;1.39435;0.06883596
9.71115;1.416198;0.06994111
9.734887;1.439935;0.07011929
9.758566;1.463614;0.07025202
9.780694;1.485742;0.07013696
9.808233;1.513281;0.06984437
9.831567;1.536615;0.06944732
9.860349;1.565396;0.06900831
9.880015;1.585063;0.06890264
9.90316;1.608207;0.06894972
9.930195;1.635242;0.06911431
9.954754;1.659801;0.06933673
9.982515;1.687562;0.06967975
10.00474;1.709784;0.07019871
10.02588;1.730929;0.07047783
10.04869;1.753738;0.07040378
10.0777;1.782749;0.07033633
10.10093;1.805982;0.0702341
10.12404;1.829089;0.07014915
10.14705;1.852093;0.07008795
10.1694;1.874444;0.07025744
10.19667;1.901715;0.07038497
10.21716;1.922212;0.07102454
10.24647;1.951516;0.07166007
10.27009;1.975136;0.07256665
10.30709;0.037005;0.07329315
10.32023;0.0501374;0.07402471
10.34698;0.0768924;0.07468757
10.36831;0.0982221;0.07530243
10.39758;0.1274897;0.07568534
10.42152;0.1514335;0.07580793
10.44603;0.1759456;0.07564427
10.47166;0.2015668;0.07542408
10.49132;0.2212289;0.07538603
10.51554;0.24545;0.07564408
10.54461;0.2745256;0.07591163
10.5703;0.3002119;0.07623938
10.59483;0.3247417;0.07659367
10.61438;0.3442936;0.07701315
10.64126;0.3711746;0.07735337
10.66723;0.3971447;0.0771945
10.69421;0.4241239;0.07678536
10.71707;0.4469804;0.0764024
10.73609;0.4660026;0.07612787
10.76266;0.4925652;0.07580709
10.79131;0.5212212;0.07551812
10.81338;0.5432931;0.07537984
10.83492;0.5648292;0.07529333
10.86543;0.5953425;0.07229383
10.88164;0.6115491;0.06291091
10.90984;0.639752;0.05425192
10.93704;0.666947;0.04773029
10.95705;0.686963;0.04257961
10.98352;0.7134313;0.03874316
11.00287;0.7327803;0.03571664
11.02711;0.7570172;0.03326575
11.05549;0.7853964;0.03178921
11.07869;0.8086005;0.03053826
11.1019;0.8318051;0.02940421
11.12498;0.8548904;0.02863853
11.15015;0.8800585;0.02808759
11.17396;0.903868;0.0273773
11.20016;0.9300643;0.02692619
11.22425;0.954163;0.0266841
11.2499;0.9798114;0.02648308
11.27035;1.000263;0.02671136
11.29964;1.029546;0.02696391
11.31838;1.048294;0.02725135
11.34499;1.074903;0.02726817
11.36831;1.098219;0.02716417
11.39172;1.121634;0.02707107
11.41396;1.143867;0.02704012
11.44569;1.175595;0.02700566
11.46671;1.196618;0.02693436
11.48874;1.218644;0.02686567
11.51341;1.243323;0.02696966
11.53617;1.266081;0.02729459
11.56298;1.292892;0.02762092
11.5862;1.316109;0.0277987
11.60972;1.33963;0.02771037
11.63479;1.364702;0.02784426
11.65778;1.38769;0.02784803
11.6841;1.414012;0.02777783
11.70786;1.437769;0.02760359
11.73305;1.462961;0.02745461
11.76072;1.490633;0.02738505
11.78001;1.509917;0.02728985
11.80226;1.532167;0.02720943
11.82536;1.555268;0.02710473
11.85408;1.583988;0.02707767
11.87919;1.609098;0.02711313
11.90078;1.630688;0.02707049
11.92583;1.65574;0.02693269
11.95128;1.681194;0.0268855
11.97703;1.706936;0.0267726
12.0024;1.732305;0.02658048
12.02551;1.755416;0.02644593
12.04637;1.776283;0.02637517
12.0752;1.80511;0.02632967
12.10062;1.83053;0.02648134
12.12359;1.853495;0.02668124
12.15052;1.880432;0.02674351
12.16932;1.899232;0.02670451
12.19259;1.922499;0.0266574
12.21884;1.94875;0.02651515
12.24697;1.976876;0.02635656
12.26697;1.996877;0.0262684
12.29114;2.02105;0.02613721
12.31845;2.048358;0.02598282
12.3413;2.071208;0.02598567
12.36758;2.09749;0.02605734
12.39056;2.12047;0.02609588
12.41368;2.143584;0.02615429
12.44118;2.171088;0.02636058
12.46525;2.195162;0.02653439
12.48894;2.218844;0.02653568
12.51241;2.242315;0.02665213
12.53872;2.268631;0.0267489
12.56147;2.291374;0.02669316
12.58493;2.314835;0.02659769
12.60866;2.33857;0.02648339
12.6355;2.365409;0.02644306
12.65873;2.388642;0.02649791
12.68162;0.0228879;0.02655873
12.70296;0.0442241;0.0266777
12.72534;0.0666067;0.02677241
12.7575;0.0987673;0.02684712
12.77804;0.119303;0.0269931
12.80294;0.1442071;0.02688403
12.82569;0.1669578;0.0264774
12.85237;0.1936379;0.02600282
12.88008;0.2213438;0.02594088
12.90248;0.2437511;0.02518244
12.92519;0.2664533;0.02387606
12.95189;0.2931595;0.0218149
12.97858;0.3198462;0.01938873
13.00276;0.3440304;0.01543066
13.02786;0.3691241;0.009881608
13.05295;0.394218;-0.000712261
13.07506;0.4163281;-0.01392893
13.10291;0.4441791;-0.0275675
13.12683;0.4680942;-0.04035098
13.14754;0.488806;-0.0558481
13.17598;0.5172446;-0.06745297
13.20269;0.5439537;-0.07805764
13.22352;0.5647811;-0.08695658
13.24534;0.5866064;-0.09390499
13.26884;0.6101025;-0.1008311
13.2935;0.6347699;-0.1075747
13.3246;0.6658698;-0.1143421
13.34791;0.6891803;-0.1205137
13.36875;0.7100137;-0.1252306
13.39436;0.7356265;-0.1296499
13.4164;0.7576658;-0.1336514
13.44379;0.7850543;-0.1364528
13.46686;0.8081262;-0.1388169
13.49017;0.8314328;-0.1403862
13.51394;0.8551992;-0.141046
13.53761;0.8788717;-0.1426365
13.5649;0.9061662;-0.1440981
13.59094;0.9322084;-0.1448282
13.61106;0.9523215;-0.1454463
13.63455;0.9758149;-0.1470447
13.65671;0.9979782;-0.1486294
13.68603;1.027294;-0.1520657
13.70747;1.048736;-0.1552846
13.73228;1.073542;-0.1574769
13.75516;1.096429;-0.1594851
13.77941;1.120676;-0.1615224
13.80617;1.147434;-0.1628823
13.82494;1.166206;-0.163083
13.85143;1.192696;-0.1629988
13.8784;1.219664;-0.1625671
13.90049;1.241751;-0.1620214
13.92716;1.26842;-0.1613288
13.9489;1.290164;-0.1606556
13.97527;1.316531;-0.1597646
14.00395;1.34521;-0.1591313
14.02316;1.364422;-0.1588798
14.04511;1.386372;-0.1586639
14.06835;1.409617;-0.158821
14.10122;1.44248;-0.1588542
14.12288;1.464142;-0.1590351
14.14842;1.489685;-0.1591705
14.1685;1.50976;-0.1593463
14.19622;1.537483;-0.1593939
14.21929;1.560552;-0.1593684
14.24368;1.58494;-0.1593567
14.26799;1.609259;-0.1593783
14.28952;1.630789;-0.1593745
14.31522;1.656481;-0.1594413
14.34346;1.684729;-0.1593631
14.36817;1.709436;-0.1594148
14.38843;1.729698;-0.1597242
14.41602;1.757284;-0.1601978
14.43423;1.775496;-0.1606826
14.46026;1.801528;-0.160674
14.47744;1.8187;-0.1604153
14.5071;1.848361;-0.1602456
14.53654;0.0294396;-0.1602291
14.55685;0.0497493;-0.1602313
14.58105;0.0739576;-0.1600959
14.60807;0.1009703;-0.1598667
14.62472;0.1176255;-0.1599337
14.65131;0.1442094;-0.1599961
14.67708;0.169982;-0.1600259
14.70131;0.1942084;-0.1597148
14.72548;0.2183867;-0.1591525
14.74887;0.2417685;-0.1589992
14.77881;0.2717136;-0.1585634
14.79969;0.292594;-0.1575113
14.82685;0.3197496;-0.1566667
14.84638;0.3392821;-0.1554057
14.87243;0.3653348;-0.1539701
14.89555;0.3884525;-0.1524555
14.92237;0.4152687;-0.1517342
14.94858;0.4414773;-0.1514644
14.96911;0.4620161;-0.1508874
14.99244;0.485338;-0.1500598
15.02065;0.5135476;-0.1490754
15.04556;0.5384623;-0.1481346
15.06727;0.5601754;-0.1464096
15.09325;0.5861542;-0.1433759
15.1212;0.614105;-0.1391186
15.14335;0.6362486;-0.1354074
15.16784;0.660737;-0.1313876
15.19064;0.6835374;-0.127726
