TotalTime;SegmentTime;XTran1
7.810422;0.0431284;-0.1366692
7.832582;0.0652877;-0.1364702
7.847789;0.0804954;-0.1366137
7.87066;0.103366;-0.1367588
7.89645;0.1291562;-0.1365846
7.91704;0.1497464;-0.1366373
7.939597;0.1723033;-0.1364503
7.962096;0.1948017;-0.1364316
7.990868;0.2235737;-0.1363956
8.013194;0.2458998;-0.1364644
8.029275;0.2619809;-0.1371034
8.062642;0.295348;-0.137328
8.090883;0.3235891;-0.1374498
8.112381;0.3450872;-0.1374176
8.140248;0.3729546;-0.1372685
8.158441;0.3911465;-0.137222
8.177363;0.4100696;-0.1371218
8.206797;0.4395032;-0.1371183
8.221189;0.453895;-0.1368463
8.251844;0.484551;-0.1369644
8.281927;0.5146335;-0.1373715
8.302965;0.5356714;-0.1376432
8.330412;0.563118;-0.1379054
8.34837;0.5810753;-0.1375919
8.370985;0.6036909;-0.137348
8.398466;0.6311717;-0.1374582
8.41297;0.6456753;-0.1375143
8.432693;0.6653993;-0.1375214
8.45979;0.692496;-0.1375373
8.490207;0.7229123;-0.1376842
8.510934;0.7436397;-0.1377949
8.533445;0.7661512;-0.1378186
8.557474;0.7901803;-0.1378901
8.574381;0.8070871;-0.1378618
8.602738;0.8354442;-0.138025
8.632895;0.8656015;-0.1382535
8.657895;0.8906013;-0.1383905
8.679596;0.9123026;-0.138588
8.70456;0.9372674;-0.1386884
8.741105;0.9738118;-0.1382425
8.760367;0.9930742;-0.1374772
8.787423;1.02013;-0.136874
8.814335;1.047042;-0.1369314
8.844061;1.076768;-0.1369651
8.867333;1.100041;-0.1370502
8.890566;1.123273;-0.1372288
8.915179;1.147886;-0.1376557
8.937148;1.169855;-0.1378545
8.95842;1.191126;-0.1381412
8.984208;1.216914;-0.1381518
9.013431;1.246136;-0.1380659
9.03498;1.267686;-0.1379457
9.057589;1.290294;-0.1377785
9.081326;1.314032;-0.1374748
9.112428;1.345133;-0.1379998
9.136359;1.369065;-0.1385296
