TotalTime;SegmentTime;XTran1;;;;;
10.98624;0.5820156;-0.04645625;;;;;
11.01501;0.6107841;-0.0387528;;;;;
11.04335;0.6391287;-0.03271428;;;;;
11.06206;0.6578338;-0.02654855;;;;;
11.08528;0.6810548;-0.01974812;;;;;
11.10918;0.7049555;-0.01281499;;;;;
11.1356;0.7313731;-0.007705361;;;;;
11.15289;0.7486681;-0.000523213;;;;;
11.18126;0.7770419;0.005268827;;;;;
11.20682;0.8025986;0.008642368;;;;;
11.22253;0.8183041;0.01608156;;;;;
11.24933;0.8451091;0.02124316;;;;;
11.2725;0.8682728;0.02612557;;;;;
11.2969;0.8926765;0.0321729;;;;;
11.32589;0.9216658;0.03942861;;;;;
11.36856;0.964334;0.04381105;;;;;
11.38811;0.9838927;0.04809025;;;;;
11.4134;1.009178;0.05271015;;;;;
11.4397;1.035481;0.05595323;;;;;
11.46107;1.056851;0.05704768;;;;;
11.47891;1.074689;0.05931253;;;;;
11.51785;1.113624;0.05944143;;;;;
11.54095;1.136727;0.05892846;;;;;
11.56126;1.15704;0.05869399;;;;;
11.59337;1.18915;0.05766801;;;;;
11.61672;1.212502;0.05675076;;;;;
11.64006;1.235835;0.05573057;;;;;
11.67303;1.268808;0.05470131;;;;;
11.69477;1.290551;0.05434524;;;;;
11.71313;1.308908;0.05385343;;;;;
11.74418;1.33996;0.05370753;;;;;
11.77099;1.366769;0.05333332;;;;;
11.79473;1.390503;0.05294785;;;;;
11.81671;1.412488;0.05282444;;;;;
11.83484;1.430619;0.05290877;;;;;
11.86747;1.463246;0.05319963;;;;;
11.89404;1.489815;0.05323598;;;;;
11.91701;1.512791;0.05329094;;;;;
11.93931;1.535091;0.05312852;;;;;
11.96278;1.558558;0.05259293;;;;;
11.98752;1.583294;0.0522305;;;;;
12.00216;1.597936;0.05208132;;;;;
12.03112;1.6269;0.05176523;;;;;
12.05668;1.65246;0.05179691;;;;;
12.0807;1.676473;0.05182691;;;;;
12.09891;1.694684;0.05191111;;;;;
12.1192;1.714982;0.05193387;;;;;
12.14633;1.742106;0.0520303;;;;;
12.17167;1.767446;0.0523761;;;;;
12.19258;1.788353;0.05246915;;;;;
12.21964;1.815422;0.05306802;;;;;
12.24693;1.842713;0.05309958;;;;;
12.27014;1.865917;0.05310144;;;;;
12.29262;1.888396;0.05301578;;;;;
12.32413;1.919912;0.05286885;;;;;
12.34772;1.943493;0.05271106;;;;;
12.37099;1.966769;0.05244979;;;;;
12.39377;1.989549;0.05229874;;;;;
12.41955;2.015329;0.05216976;;;;;
12.44802;2.043795;0.05228496;;;;;
12.47114;2.066912;0.05240015;;;;;
12.49485;2.090624;0.05257515;;;;;
12.52091;2.11669;0.05297056;;;;;
12.54113;2.136911;0.05330033;;;;;
12.5703;2.166076;0.05343254;;;;;
12.5879;2.183672;0.05340178;;;;;
12.61728;2.213058;0.0529877;;;;;
12.65519;2.250968;0.05309328;;;;;
12.68122;2.276994;0.05306856;;;;;
12.70596;2.301738;0.05288235;;;;;
12.72702;2.322797;0.05300114;;;;;
12.75011;2.34589;0.05299051;;;;;
12.76743;2.363211;0.05303138;;;;;
12.80025;2.396023;0.05310839;;;;;
12.81923;2.415004;0.05326644;;;;;
12.84845;2.444226;0.05334246;;;;;
12.87225;2.468032;0.05346904;;;;;
12.89529;2.491072;0.05350549;;;;;
12.91921;2.514988;0.05363923;;;;;
12.94361;2.539387;0.05354848;;;;;
12.96768;2.563457;0.05408615;;;;;
12.99839;2.594173;0.0541373;;;;;
13.02245;2.618225;0.05420222;;;;;
13.04882;2.644602;0.05406613;;;;;
13.074;2.669777;0.05378334;;;;;
13.09562;2.691394;0.05334569;;;;;
13.11918;2.714954;0.05301244;;;;;
13.14353;2.739304;0.05294032;;;;;
13.17066;2.766433;0.05281087;;;;;
13.19496;2.79074;0.0527074;;;;;
13.21819;2.813972;0.05255006;;;;;
13.24018;2.835953;0.05253748;;;;;
13.26516;2.860936;0.05258315;;;;;
13.28661;2.882388;0.0526593;;;;;
13.31484;2.910613;0.0528204;;;;;
13.32707;2.922846;0.05298482;;;;;
13.35954;2.955316;0.05329851;;;;;
13.38238;2.978157;0.05347316;;;;;
13.40061;2.996391;0.05340164;;;;;
13.43008;3.025858;0.0530305;;;;;
13.45326;3.04904;0.05270709;;;;;
13.48208;0.0288161;0.052805;;;;;
13.50838;0.0551201;0.05285525;;;;;
13.52713;0.0738702;0.05302621;;;;;
13.55089;0.09762269;0.05303936;;;;;
13.57449;0.1212237;0.0531591;;;;;
13.59772;0.1444546;0.05299169;;;;;
13.6209;0.1676337;0.05298563;;;;;
13.64931;0.1960503;0.05293033;;;;;
13.66626;0.2130032;0.05288006;;;;;
13.69492;0.2416581;0.05265142;;;;;
13.71898;0.2657174;0.05268618;;;;;
13.74085;0.287586;0.05245134;;;;;
13.76434;0.3110825;0.05238721;;;;;
13.78641;0.3331494;0.05242739;;;;;
13.81522;0.3619605;0.05246963;;;;;
13.83826;0.3849991;0.05250955;;;;;
13.86134;0.4080816;0.05265242;;;;;
13.8859;0.4326349;0.05271657;;;;;
13.90813;0.4548638;0.05277196;;;;;
13.93453;0.4812711;0.05283402;;;;;
13.9675;0.514235;0.05294581;;;;;
13.98689;0.5336273;0.05305924;;;;;
14.01359;0.5603241;0.05298198;;;;;
14.03884;0.5855746;0.05295195;;;;;
14.06203;0.6087666;0.05279363;;;;;
14.08619;0.6329293;0.05245117;;;;;
14.10807;0.6548106;0.05240716;;;;;
14.12507;0.6718085;0.05229765;;;;;
14.15743;0.7041679;0.05238394;;;;;
14.18355;0.7302893;0.05242469;;;;;
14.20104;0.7477744;0.052789;;;;;
14.22892;0.7756619;0.05291107;;;;;
14.25548;0.8022139;0.05276596;;;;;
14.27192;0.8186619;0.05283029;;;;;
14.29462;0.8413557;0.05267827;;;;;
14.31708;0.8638197;0.05257954;;;;;
14.33956;0.8862995;0.052804;;;;;
14.36934;0.9160729;0.05274283;;;;;
14.39122;0.937959;0.05263919;;;;;
14.41869;0.9654298;0.05291439;;;;;
14.43865;0.9853846;0.0530923;;;;;
14.46171;1.008447;0.05333518;;;;;
14.49718;1.043921;0.05330733;;;;;
14.51137;1.058107;0.05310176;;;;;
14.54007;1.086812;0.05293051;;;;;
14.56615;1.112892;0.0524473;;;;;
14.59571;1.142447;0.05229734;;;;;
14.62112;1.167856;0.05232657;;;;;
14.64127;1.188009;0.052093;;;;;
14.67092;1.217657;0.05234097;;;;;
14.69692;1.243661;0.05251988;;;;;
14.71766;1.264395;0.05281233;;;;;
14.74379;1.290534;0.05308296;;;;;
14.76628;1.313016;0.05332476;;;;;
14.78814;1.334882;0.05341825;;;;;
14.81656;1.363304;0.0534567;;;;;
14.83792;1.384664;0.05359396;;;;;
14.86057;1.407311;0.05361947;;;;;
14.87946;1.426195;0.05376776;;;;;
14.90924;1.455984;0.05349462;;;;;
14.93781;1.484552;0.05338193;;;;;
14.96145;1.508186;0.05340729;;;;;
14.98542;1.532165;0.05320434;;;;;
15.00437;1.551113;0.05288503;;;;;
15.02898;1.575718;0.0527389;;;;;
15.05281;1.599554;0.05273033;;;;;
15.07522;1.621956;0.05271093;;;;;
15.10007;1.64681;0.05284914;;;;;
15.12687;1.67361;0.05293328;;;;;
15.15068;1.69742;0.05305515;;;;;
15.17551;1.722249;0.05330654;;;;;
15.19507;1.741812;0.05340563;;;;;
15.21929;1.766027;0.05382453;;;;;
15.24244;1.789176;0.05377355;;;;;
15.26588;1.812619;0.05393369;;;;;
15.2896;1.836334;0.05429024;;;;;
15.31479;1.86153;0.05433051;;;;;
15.33845;1.885189;0.05415171;;;;;
15.36425;1.910986;0.05404692;;;;;
15.38071;1.927443;0.05336366;;;;;
15.41416;0.0334525;0.05281123;;;;;
15.43716;0.0564594;0.05249013;;;;;
15.46209;0.0813853;0.05226744;;;;;
15.49105;0.110343;0.05239191;;;;;
15.50751;0.1268096;0.05256312;;;;;
15.53201;0.1513011;0.05287125;;;;;
15.55688;0.1761726;0.05292208;;;;;
15.58351;0.2028038;0.05261489;;;;;
15.60699;0.2262872;0.05229814;;;;;
15.62962;0.2489154;0.05165227;;;;;
15.65626;0.2755547;0.05123083;;;;;
15.67556;0.2948568;0.05092362;;;;;
15.69888;0.318176;0.05018825;;;;;
15.72625;0.3455498;0.04933465;;;;;
15.75019;0.3694838;0.04839696;;;;;
15.77482;0.3941103;0.04736266;;;;;
15.80312;0.4224189;0.04648885;;;;;
15.82963;0.4489284;0.04525995;;;;;
15.85113;0.4704228;0.04371291;;;;;
15.87372;0.4930134;0.04038965;;;;;
15.89778;0.5170726;0.03606337;;;;;
15.91995;0.5392405;0.03208265;;;;;
15.94678;0.5660717;0.02807891;;;;;
15.97231;0.5916002;0.02454963;;;;;
15.99712;0.6164109;0.02040985;;;;;
16.02434;0.6436288;0.01689076;;;;;
16.04692;0.6662121;0.01291327;;;;;
16.07396;0.6932486;0.009013666;;;;;
16.09617;0.7154605;0.005654674;;;;;
