TotalTime;SegmentTime;XTran1;YTran1;ZTran1
18.92283;0.0216703;0.01890133;0.745992;0.2347354
18.95103;0.0498695;0.01850336;0.7460678;0.2347466
18.97756;0.0763984;0.01803192;0.7461776;0.2347938
18.99348;0.0923189;0.01754072;0.7463155;0.2351215
19.01548;0.1143157;0.01735414;0.7465819;0.2357325
19.03934;0.138173;0.01724206;0.746839;0.2361192
19.05444;0.1532735;0.01702304;0.7469875;0.2362446
19.07443;0.1732602;0.01629998;0.7467926;0.2359388
19.1041;0.2029312;0.01608241;0.7466953;0.23597
19.12518;0.2240154;0.01569635;0.7470143;0.2365468
19.15207;0.2509074;0.01563966;0.7471373;0.2367519
19.17123;0.2700663;0.01572703;0.7469966;0.2364581
19.19857;0.297402;0.01596154;0.7464436;0.2355593
19.22223;0.3210661;0.01608461;0.7460157;0.2350706
19.23853;0.3373612;0.01621092;0.744891;0.2337344
19.26954;0.3683763;0.0156237;0.7448884;0.2327229
19.30393;0.4027607;0.01497992;0.7448137;0.2328773
19.32519;0.4240234;0.01448753;0.7448947;0.2334106
19.35008;0.4489188;0.01421228;0.7451484;0.2344653
19.36922;0.4680574;0.01417685;0.7451028;0.2348884
19.39184;0.4906708;0.01407311;0.7450417;0.2349436
19.40357;0.5024002;0.01453621;0.7448199;0.2344213
19.42746;0.5262972;0.0152676;0.7434167;0.2327585
19.45684;0.5556733;0.01561109;0.7427437;0.2322699
19.48103;0.5798603;0.01591023;0.7416496;0.2323855
19.50971;0.6085413;0.01570402;0.7412235;0.2327217
19.52824;0.6270753;0.01518911;0.7409899;0.2333017
19.555;0.6538366;0.0150479;0.7409761;0.2334872
19.57066;0.669491;0.01486934;0.7408696;0.2331828
19.6001;0.6989316;0.01483499;0.7407683;0.2323686
19.6247;0.7235337;0.01464961;0.7406472;0.2320935
19.64615;0.7449834;0.01426735;0.7408215;0.2325254
19.66967;0.7685069;0.01392591;0.7408838;0.2333374
19.69506;0.7938973;0.0140629;0.740603;0.2333211
19.71815;0.816986;0.01423904;0.7401441;0.2326145
19.74394;0.8427694;0.01423175;0.7397079;0.2319316
19.76748;0.8663087;0.01409346;0.7394645;0.2316218
19.78951;0.888338;0.01397889;0.7396735;0.2320121
19.81314;0.9119753;0.01400193;0.7400482;0.2326903
19.83575;0.934584;0.01372781;0.7403013;0.2328971
19.86462;0.9634492;0.01336397;0.7402433;0.2325236
19.88937;0.9881994;0.01293825;0.740153;0.2321604
19.91222;1.011051;0.012684;0.7400115;0.2321845
19.93644;1.035274;0.01275532;0.7403851;0.2331564
19.95832;1.057155;0.01263672;0.740707;0.2334913
19.99212;1.090947;0.01206488;0.7405505;0.2327319
20.0104;1.109232;0.01178799;0.7404199;0.232354
20.02769;1.126524;0.01122322;0.7398465;0.2321336
20.05662;1.155455;0.01097069;0.7401263;0.2326302
20.08183;1.180663;0.01082381;0.7403231;0.2330724
20.10296;1.201789;0.01096568;0.7403547;0.2330749
20.12781;1.226642;0.01098894;0.7407076;0.233135
20.15606;1.254894;0.01089836;0.7410995;0.2329152
20.17888;1.277713;0.0108564;0.7414815;0.23278
20.20198;1.300814;0.01096765;0.7418429;0.2332107
20.22535;1.324185;0.01076205;0.7419298;0.2337938
20.24859;1.347423;0.01014246;0.7415748;0.2339868
20.277;1.375837;0.009441994;0.7414666;0.2336664
20.30138;1.400215;0.008881957;0.7415765;0.233643
20.32403;1.422869;0.008483481;0.7417378;0.2338302
20.34567;1.444506;0.008035081;0.7418302;0.2339714
20.37311;1.471948;0.007757083;0.7416456;0.2337602
20.39392;1.492751;0.007734718;0.7414576;0.2335681
20.41544;1.514278;0.007652242;0.7410099;0.2334804
20.44552;1.544356;0.007611716;0.7415326;0.2342036
20.46935;1.568184;0.007178476;0.7421292;0.2347443
20.49079;1.589627;0.006959289;0.7424322;0.2349662
20.50709;1.605924;0.005542323;0.7426746;0.2334311
20.53653;1.635365;0.00501306;0.7426718;0.2325704
20.56081;1.659642;0.004935101;0.742927;0.232338
20.58246;1.681296;0.00481442;0.7433512;0.2324984
20.61045;1.709288;0.004587747;0.7427357;0.2323868
20.63334;1.732171;0.00440732;0.7418853;0.2320964
20.65582;1.754652;0.004455492;0.7415394;0.2317193
20.67865;1.77748;0.004409604;0.7410249;0.2311903
20.70102;1.799852;0.004304864;0.7407823;0.2308729
20.72397;1.822802;0.003935896;0.7407099;0.2305673
20.74652;1.845357;0.003296718;0.7408926;0.2303192
20.76925;1.86808;0.002804376;0.7409863;0.2303014
20.79453;1.893367;0.00225284;0.7410574;0.2302887
20.81496;1.913792;0.001683488;0.7409449;0.2300817
20.83842;1.937256;0.001103587;0.7406712;0.2299654
20.86426;1.963095;0.000506431;0.7402322;0.2293608
20.89223;1.991068;7.010996E-06;0.7398484;0.228999
20.91401;2.012843;-0.000305444;0.7395393;0.2287394
20.93847;2.037304;-0.000510447;0.7391356;0.2283265
20.9667;2.065531;-0.000653014;0.7384936;0.2280518
20.98961;2.088444;-0.000901811;0.7381765;0.2283135
21.01354;2.112378;-0.00104972;0.7380139;0.2287215
21.03597;2.134805;-0.001069315;0.7376616;0.2289311
21.0577;2.156532;-0.00114575;0.737161;0.2286395
21.0802;2.179038;-0.001133226;0.7365812;0.2283435
21.10957;2.208399;-0.001066543;0.736412;0.2282295
21.1344;2.233234;-0.00084272;0.7364051;0.2281317
21.15811;2.256939;-0.000690885;0.7365143;0.2281785
21.18079;2.279619;-0.000546023;0.7366225;0.2279536
21.20562;2.304451;-0.000220478;0.7366546;0.2276182
21.23432;2.333149;8.898973E-05;0.7364779;0.2272273
21.25829;2.357124;0.000263691;0.736191;0.2268763
21.27952;2.37835;0.000355005;0.7358778;0.2263281
21.30159;2.400421;0.00057704;0.7358848;0.2259381
21.3259;2.424732;0.000713587;0.7358456;0.2259006
21.34928;2.448111;0.00072059;0.7358086;0.2259813
21.37493;2.47376;0.000718646;0.7357624;0.2260661
21.39411;2.492943;0.00063175;0.7358356;0.226161
21.42687;2.525699;0.000587247;0.7358532;0.2262401
21.44996;2.548793;0.000677675;0.7358841;0.2263466
21.47232;2.571149;0.000825383;0.7359957;0.2266372
21.49359;2.592419;0.0008379;0.7359854;0.2264574
21.52217;2.620999;0.000812046;0.735853;0.2260316
21.54665;2.645482;0.000813507;0.735675;0.2257684
21.56538;2.664214;0.000889473;0.7353119;0.2255468
21.59011;2.688945;0.000826836;0.7349607;0.2252808
21.6212;2.720027;0.000770167;0.7346674;0.2250569
21.63408;2.732913;0.000785969;0.7344543;0.2249774
21.6531;2.751925;0.001111314;0.734092;0.2246637
21.6803;2.779131;0.001026951;0.7341645;0.2248364
21.69934;2.798167;0.00092531;0.7341607;0.2250723
21.72219;2.821025;0.000881814;0.7341375;0.2252837
21.75026;2.849085;0.000794202;0.7344829;0.2256295
21.78483;2.88366;0.000553437;0.7346401;0.2256676
21.81526;2.914086;0.000506729;0.7346147;0.2255206
21.83813;2.936954;0.000568725;0.7345244;0.2254888
21.85291;2.951742;0.000670269;0.734517;0.2257925
21.87935;2.978183;0.000700615;0.734555;0.2263165
21.91088;3.009711;0.00114885;0.7347354;0.2267308
21.93805;3.036877;0.001758441;0.7351108;0.2271941
21.95629;3.055123;0.002251089;0.7352625;0.2274263
21.97825;3.07708;0.002642289;0.7351128;0.2274494
21.99514;3.093968;0.003070258;0.7348154;0.2273201
22.01632;3.115153;0.003397867;0.7350452;0.2277842
22.04917;3.148003;0.003604189;0.7352715;0.2288261
