TotalTime;SegmentTime;XTran1;YTran1;ZTran1
16.36713;0.5005201;0.09913926;0.6860679;0.7924796
16.39537;0.5287671;0.100644;0.6839478;0.7913362
16.4183;0.5516894;0.1015733;0.6820781;0.7897277
16.44379;0.5771798;0.1011884;0.681869;0.7896142
16.47002;0.6034155;0.1002542;0.680328;0.791025
16.49789;0.6312815;0.1005772;0.6795459;0.7915108
16.52364;0.6570282;0.1006488;0.6790621;0.7914733
16.55304;0.6864323;0.1010038;0.6786841;0.7918394
16.5785;0.711891;0.1015487;0.6765853;0.7907683
16.60311;0.7364998;0.1016708;0.6744211;0.789451
16.62792;0.761314;0.1032295;0.6731082;0.789915
16.65648;0.7898673;0.1052802;0.6720048;0.789106
16.67972;0.8131117;0.1063815;0.6712186;0.7872397
16.7105;0.8438933;0.1049913;0.670459;0.7868579
16.73275;0.8661384;0.1031581;0.6697863;0.7872977
16.75816;0.8915536;0.1022826;0.6695741;0.787573
16.7788;0.9121963;0.100392;0.6685455;0.7891916
16.81128;0.9446714;0.0991613;0.6682264;0.7899152
16.83984;0.9732305;0.09826083;0.6668562;0.789471
16.87102;1.00441;0.09830624;0.665333;0.7888449
16.8941;1.027492;0.09867318;0.6645012;0.7890087
16.91287;1.046264;0.09918837;0.6642567;0.7901323
16.93444;1.067829;0.1007496;0.6629948;0.7915384
16.96733;1.100723;0.1025783;0.6617794;0.7917562
16.99585;1.129238;0.1036857;0.6609577;0.7920964
17.02669;1.16008;0.1042953;0.6606104;0.7924273
17.0472;1.180592;0.1041634;0.6609123;0.7931284
17.07346;1.206853;0.1028784;0.6602021;0.7935758
17.10048;1.233871;0.101252;0.6598262;0.7940447
17.12889;1.262289;0.09979279;0.6589675;0.7939404
17.15416;1.287555;0.09826465;0.6580241;0.7936354
17.18709;1.320487;0.09891546;0.6574915;0.7932876
17.20805;1.341446;0.1007185;0.6578933;0.7931799
17.23158;1.364971;0.1020252;0.6590542;0.7935789
17.26111;1.394504;0.1018836;0.6593688;0.794942
17.29078;1.424176;0.1014909;0.6585051;0.7958415
17.31006;1.44346;0.1012333;0.6580274;0.7970757
17.34536;1.478754;0.1011269;0.6573663;0.7974658
17.36378;1.497175;0.1017743;0.6568303;0.7973768
17.39078;1.524175;0.1027276;0.6566699;0.7971096
17.41605;1.549441;0.1032156;0.6575655;0.7972645
17.44167;1.575063;0.1034794;0.6580417;0.7975584
17.45964;1.593039;0.1051285;0.6573553;0.7984655
17.49427;1.627664;0.1052842;0.658332;0.7992605
17.5584;1.6918;0.1054029;0.6588753;0.8003488
17.57557;1.708964;0.1060774;0.6591147;0.8005831
17.59133;1.724723;0.1068991;0.6597636;0.8005376
17.60894;1.742331;0.1072445;0.6608583;0.8008583
17.63697;1.77036;0.1064355;0.6610265;0.8012292
17.6614;1.794795;0.1067025;0.6614904;0.8018945
17.68959;1.822981;0.106884;0.6611136;0.8025833
17.7103;1.843699;0.1070101;0.6605705;0.8030725
17.73269;1.866089;0.1075121;0.6605936;0.8034259
17.76667;1.900069;0.1070984;0.6610207;0.8036356
17.78516;1.918551;0.1074258;0.661028;0.8037443
17.8084;1.941795;0.1079631;0.6615521;0.8040186
17.83224;1.965636;0.108446;0.6619334;0.8039647
17.86294;1.996331;0.109328;0.663075;0.8035923
17.88945;2.022841;0.1100845;0.6631366;0.8036335
17.90813;2.041522;0.1105703;0.6628948;0.8040401
17.93199;2.065381;0.1112569;0.6628031;0.8045745
17.95616;2.089557;0.1117652;0.6623973;0.8048884
17.98375;2.117142;0.1121819;0.6624357;0.8046271
18.01289;2.146282;0.1124111;0.6624607;0.804307
18.03905;2.172446;0.1134393;0.6627194;0.8038892
18.05572;2.189116;0.114027;0.662634;0.804012
18.07928;2.212678;0.1145727;0.662638;0.8047489
18.10836;2.241759;0.1153239;0.6631466;0.8047388
18.13811;2.271503;0.1153739;0.6637564;0.8049215
18.16116;2.29455;0.1147999;0.6642072;0.8055682
18.17894;2.312335;0.1145233;0.6646855;0.8056273
18.19717;2.330567;0.1139675;0.6655106;0.8063989
18.23062;2.364012;0.1134907;0.6653114;0.8065712
18.25501;2.388407;0.1132381;0.6653194;0.8065091
18.27966;2.41305;0.1125324;0.6652135;0.806693
18.3083;2.44169;0.1122979;0.6657281;0.8072953
18.33769;2.471087;0.1120272;0.6668341;0.80795
18.35637;2.489763;0.1117331;0.6666967;0.8080665
18.37926;2.512656;0.1106535;0.6665639;0.8076226
18.4076;2.540995;0.1098557;0.6665698;0.8082941
18.43139;2.564786;0.1091045;0.6669518;0.8092009
18.45558;2.588975;0.1085315;0.6666998;0.8101161
18.47842;2.611814;0.1082322;0.6669195;0.8104691
18.507;2.640395;0.1079363;0.6665158;0.8102423
18.52856;2.661957;0.1076392;0.6668285;0.8092736
18.55265;2.686049;0.1074725;0.6674236;0.8084527
18.57799;2.711385;0.1077148;0.6679119;0.8080319
18.60053;2.733928;0.1080986;0.6686382;0.8080654
18.62709;2.760482;0.1082278;0.6685535;0.8076692
18.65426;2.78766;0.1082531;0.6686471;0.8067938
18.6817;2.815098;0.1081825;0.6686558;0.8060467
18.70044;2.833835;0.108019;0.6686131;0.8058212
18.71728;2.850669;0.1072441;0.6680082;0.8064384
18.75036;2.883755;0.1076355;0.6677909;0.8066638
18.77633;2.909724;0.1078919;0.6678402;0.8063716
18.80063;2.93403;0.1080786;0.6682692;0.8060086
18.82502;2.958416;0.1083053;0.6686404;0.806102
18.85608;2.989479;0.1079456;0.668648;0.8068014
18.88111;3.014508;0.1082026;0.6692529;0.8072716
18.90207;3.03547;0.1086973;0.6700044;0.8073435
18.9247;3.0581;0.1089655;0.6696734;0.8078779
18.95363;3.087026;0.108243;0.6704922;0.8078872
18.97907;3.112472;0.1074079;0.6716455;0.8077792
19.00639;3.139791;0.1063039;0.6718024;0.807984
19.02851;3.161908;0.105488;0.6721202;0.8075206
19.05717;3.19057;0.1055233;0.6726625;0.8065642
19.08268;3.216078;0.1056887;0.6727124;0.8053759
19.11048;3.243873;0.1054647;0.673308;0.8049484
19.13307;3.266469;0.1048838;0.6742868;0.8048988
19.16287;3.296267;0.1038438;0.6745044;0.8042698
19.18485;3.318249;0.1034301;0.6745294;0.8032625
19.21087;3.344267;0.1022962;0.6749548;0.8027161
19.23536;3.368762;0.1016017;0.6747142;0.8026236
19.25867;3.392062;0.1003333;0.6746081;0.8025479
19.28855;3.421947;0.09975876;0.6746054;0.8025244
19.32002;3.453418;0.09849307;0.6742696;0.8019481
19.33914;3.472538;0.09807396;0.6737279;0.8019435
19.36475;3.498144;0.09750862;0.6738975;0.8024873
19.39026;3.523659;0.09628929;0.6730801;0.8029224
19.41788;3.55128;0.09522102;0.6729156;0.8025204
19.44482;3.578217;0.09506974;0.6730332;0.8014902
19.47393;3.607323;0.09461872;0.6724253;0.8010498
19.49922;3.632616;0.09462318;0.6726106;0.800848
19.52314;3.656539;0.09444852;0.67357;0.8002244
19.54756;3.680961;0.0935166;0.674963;0.7996403
19.57751;3.710911;0.09326601;0.6757004;0.7994762
19.60836;3.741761;0.09283659;0.6761721;0.7992041
19.63946;3.772859;0.0924665;0.6758282;0.7990192
19.66334;3.796733;0.09171081;0.6742669;0.7984957
19.7008;3.8342;0.09073476;0.6735545;0.7982569
19.7312;3.864593;0.09134655;0.6754881;0.798539
19.76196;3.895356;0.09109922;0.6736434;0.7980859
19.80653;3.939932;0.09152931;0.6741558;0.7973268
19.8299;3.963298;0.09128826;0.6747593;0.7969246
19.85414;3.987535;0.09086652;0.6744075;0.7970136
19.88445;4.017842;0.0899573;0.6744089;0.7966334
19.91053;4.04393;0.08922385;0.6741744;0.7964234
19.93506;4.068461;0.08860785;0.6745294;0.795879
19.97054;4.103941;0.08803214;0.674404;0.7955019
19.99002;4.123414;0.08850969;0.6740476;0.7955502
20.02107;4.154466;0.08895794;0.6736781;0.7956405
20.04549;4.178885;0.08776858;0.6735209;0.7956712
20.07514;4.20854;0.08792977;0.6737688;0.7956358
20.1004;4.233801;0.08830628;0.6734207;0.7954811
20.13758;4.270975;0.08830479;0.6733449;0.7956108
20.15672;4.290121;0.08777364;0.6731806;0.7955884
20.18639;4.319783;0.08787131;0.6731609;0.7954861
20.21379;4.347188;0.08851293;0.6736609;0.795127
20.2415;4.374898;0.08933045;0.6747874;0.7945098
20.27216;4.405553;0.08926378;0.6751771;0.7941574
20.30363;4.437029;0.08834319;0.6758212;0.7938611
20.32589;4.459283;0.08690026;0.6757579;0.7930067
20.35195;4.48534;0.08616102;0.6757845;0.7920492
20.37903;4.512424;0.08552918;0.6754678;0.7911394
20.41022;4.54361;0.08377996;0.6758665;0.7907724
20.43525;4.568641;0.08275758;0.6761747;0.7902086
20.4686;4.601991;0.08231698;0.6760798;0.7897565
20.4895;4.622893;0.08229883;0.6759604;0.789951
