TotalTime;SegmentTime;XTran1;YTran1;ZTran1;XTran2;YTran2;ZTran2;cXTran;cYTran;cZran
55.24696;55.24696;0.0454029;0.7661259;0.3120159;-0.03722125;0.7843194;0.4510696;-0.08262415;0.0181935;0.1390537
55.269;55.269;0.04527086;0.7657082;0.3121556;-0.03734856;0.7839072;0.4512101;-0.08261942;0.018199;0.1390545
55.30213;55.30213;0.04528868;0.7654798;0.3120582;-0.0373345;0.7836721;0.4511104;-0.08262318;0.0181923;0.1390522
55.32317;55.32317;0.04554611;0.7654571;0.3117453;-0.03707317;0.7836498;0.4507985;-0.08261928;0.0181927;0.1390532
55.35086;55.35086;0.04553121;0.7652372;0.3118863;-0.03708188;0.7834318;0.4509405;-0.08261309;0.0181946;0.1390542
55.37924;55.37924;0.04564054;0.7651599;0.3125001;-0.03698304;0.78335;0.4515529;-0.08262358;0.0181901;0.1390528
55.40615;55.40615;0.04569473;0.7651978;0.3130105;-0.03694768;0.7833786;0.4520558;-0.08264241;0.0181808;0.1390453
55.431;55.431;0.04561208;0.7653375;0.3130802;-0.03702436;0.7835155;0.4521274;-0.08263644;0.018178;0.1390472
55.44643;55.44643;0.04505207;0.7655032;0.3134315;-0.03758713;0.7836924;0.4524781;-0.0826392;0.0181892;0.1390466
55.49284;55.49284;0.04469215;0.7654843;0.3136204;-0.03796773;0.7836518;0.452661;-0.08265988;0.0181675;0.1390406
55.52094;55.52094;0.04450539;0.7654034;0.3137218;-0.03817184;0.7835667;0.4527563;-0.08267723;0.0181633;0.1390345
55.54501;55.54501;0.04449997;0.7654032;0.3135895;-0.03817092;0.7835768;0.4526258;-0.08267089;0.0181736;0.1390363
55.56903;55.56903;0.04471768;0.7654018;0.313299;-0.03798009;0.7835627;0.452327;-0.08269777;0.0181609;0.139028
55.59297;55.59297;0.0449872;0.765452;0.3131097;-0.03770699;0.7836124;0.4521387;-0.08269419;0.0181604;0.139029
55.61679;55.61679;0.04524241;0.7657369;0.3130754;-0.03745141;0.7838956;0.452105;-0.08269382;0.0181587;0.1390296
55.64437;55.64437;0.04524744;0.7660209;0.3130073;-0.03746888;0.7841876;0.4520229;-0.08271632;0.0181667;0.1390156
55.66908;55.66908;0.04528826;0.7661554;0.3130234;-0.03741838;0.7843192;0.4520423;-0.08270664;0.0181638;0.1390189
55.6919;55.6919;0.04525204;0.7661887;0.3132854;-0.0374548;0.7843292;0.452308;-0.08270684;0.0181405;0.1390226
55.71685;55.71685;0.04494927;0.7658362;0.3133984;-0.03777573;0.783987;0.4524109;-0.082725;0.0181508;0.1390125
55.74156;55.74156;0.04483761;0.7656062;0.3132312;-0.0378864;0.7837623;0.4522405;-0.08272401;0.0181561;0.1390093
55.77075;55.77075;0.04492751;0.7656906;0.3132553;-0.03781392;0.7838439;0.4522572;-0.08274143;0.0181533;0.1390019
55.79145;55.79145;0.04508364;0.7658134;0.3134057;-0.03765027;0.783963;0.4524096;-0.08273391;0.0181496;0.1390039
55.81596;55.81596;0.04525787;0.7658959;0.3134563;-0.03748735;0.7840551;0.452452;-0.08274522;0.0181592;0.1389957
55.84024;55.84024;0.04547961;0.7659816;0.313461;-0.03729445;0.784129;0.4524432;-0.08277406;0.0181474;0.1389822
55.86534;55.86534;0.04539074;0.7658802;0.3134214;-0.03737655;0.7840342;0.452405;-0.08276729;0.018154;0.1389836
55.89165;55.89165;0.04525379;0.7656958;0.313159;-0.03752039;0.7838457;0.452143;-0.08277418;0.0181499;0.138984
55.92525;55.92525;0.04538622;0.7656208;0.3130539;-0.03738946;0.7837754;0.4520375;-0.08277568;0.0181546;0.1389836
55.94801;55.94801;0.04555967;0.7655267;0.3128201;-0.0372193;0.7836798;0.4518029;-0.08277897;0.0181531;0.1389828
55.973;55.973;0.04548193;0.7653589;0.3126799;-0.03731242;0.7835042;0.4516559;-0.08279435;0.0181453;0.138976
55.99482;55.99482;0.04549721;0.7651919;0.3127866;-0.03728886;0.7833194;0.4517682;-0.08278607;0.0181275;0.1389816
56.02217;56.02217;0.04560599;0.7649614;0.3129779;-0.03718834;0.7830985;0.4519579;-0.08279433;0.0181371;0.13898
56.04274;56.04274;0.04540622;0.7647184;0.3132065;-0.03739423;0.7828521;0.4521815;-0.08280045;0.0181337;0.138975
56.067;56.067;0.04539193;0.7647054;0.3132785;-0.03741375;0.7828384;0.4522538;-0.08280568;0.018133;0.1389753
56.09072;56.09072;0.04547327;0.7646941;0.3134311;-0.03734289;0.7828248;0.4523983;-0.08281616;0.0181307;0.1389672
56.11385;56.11385;0.0454721;0.7647502;0.3135233;-0.03734177;0.7828821;0.4524928;-0.08281387;0.0181319;0.1389695
56.15251;56.15251;0.04546983;0.7650817;0.3138342;-0.03734146;0.7832159;0.4528033;-0.08281129;0.0181342;0.1389691
56.17599;56.17599;0.04505296;0.7653697;0.3137545;-0.03776181;0.7834995;0.452723;-0.08281477;0.0181298;0.1389685
56.20228;56.20228;0.04484595;0.7655443;0.3136051;-0.03797327;0.7836749;0.4525731;-0.08281922;0.0181306;0.138968
56.22542;56.22542;0.04503826;0.7658386;0.3134072;-0.03778125;0.7839688;0.4523759;-0.08281951;0.0181302;0.1389687
56.2488;56.2488;0.04523662;0.7659861;0.31318;-0.03758538;0.7841135;0.4521486;-0.082822;0.0181274;0.1389686
56.27258;56.27258;0.0455241;0.7658964;0.3128727;-0.037301;0.7840269;0.4518394;-0.0828251;0.0181305;0.1389667
56.3012;56.3012;0.04580672;0.7656268;0.3127379;-0.03701851;0.7837567;0.4517053;-0.08282523;0.0181299;0.1389674
56.326;56.326;0.04601534;0.7653165;0.3126523;-0.03680901;0.7834436;0.4516203;-0.08282435;0.0181271;0.138968
56.35262;56.35262;0.04611175;0.7652673;0.312491;-0.03671573;0.7833962;0.4514587;-0.08282748;0.0181289;0.1389677
56.3727;56.3727;0.04611888;0.7652574;0.3123399;-0.03672881;0.7833925;0.4512947;-0.08284769;0.0181351;0.1389548
56.39663;56.39663;0.0461328;0.7649959;0.3124025;-0.03673127;0.7831262;0.4513459;-0.08286407;0.0181303;0.1389434
56.42411;56.42411;0.04606847;0.7645347;0.3121336;-0.0368007;0.7826645;0.4510713;-0.08286917;0.0181298;0.1389377
56.44841;56.44841;0.04622342;0.7641006;0.3119615;-0.03664042;0.782232;0.4509009;-0.08286384;0.0181314;0.1389394
56.47036;56.47036;0.04665884;0.7637841;0.3120404;-0.03620225;0.781926;0.45098;-0.08286109;0.0181419;0.1389396
56.49468;56.49468;0.04703735;0.7640517;0.3121267;-0.03584953;0.7822056;0.4510494;-0.08288688;0.0181539;0.1389227
56.51758;56.51758;0.04730104;0.7647865;0.3121016;-0.03558819;0.782931;0.4510193;-0.08288923;0.0181445;0.1389177
56.54429;56.54429;0.04686454;0.7651719;0.3126965;-0.03602228;0.7833182;0.4516156;-0.08288682;0.0181463;0.1389191
56.57187;56.57187;0.04606061;0.7651871;0.3131903;-0.0368267;0.7833345;0.4521095;-0.08288731;0.0181474;0.1389192
56.59357;56.59357;0.04532072;0.7652098;0.3136325;-0.03756222;0.783383;0.4525489;-0.08288294;0.0181732;0.1389164
56.61669;56.61669;0.04477917;0.7652496;0.3139758;-0.03812813;0.7834133;0.4528797;-0.0829073;0.0181637;0.1389039
56.64241;56.64241;0.04479134;0.7650235;0.3139086;-0.0381061;0.7831882;0.4528152;-0.08289744;0.0181647;0.1389066
56.66659;56.66659;0.04494794;0.764751;0.3135872;-0.0379514;0.7829135;0.4524931;-0.08289934;0.0181625;0.1389059
56.69188;56.69188;0.04512246;0.7648425;0.3132375;-0.03777689;0.7830051;0.4521434;-0.08289935;0.0181626;0.1389059
56.71405;56.71405;0.04525265;0.7648447;0.3131679;-0.03766427;0.7830264;0.4520627;-0.08291692;0.0181817;0.1388948
56.73711;56.73711;0.04529994;0.7647712;0.3131636;-0.0376064;0.7829467;0.4520615;-0.08290634;0.0181755;0.1388979
56.76012;56.76012;0.04546186;0.7649168;0.3132563;-0.0374433;0.7830899;0.4521539;-0.08290516;0.0181731;0.1388976
56.78288;56.78288;0.0455842;0.7650045;0.3133467;-0.03732147;0.7831787;0.4522444;-0.08290567;0.0181742;0.1388977
56.80756;56.80756;0.04570942;0.7650411;0.3133203;-0.03720466;0.7832142;0.452213;-0.08291408;0.0181731;0.1388927
56.82977;56.82977;0.04589807;0.7650198;0.3132624;-0.03701211;0.7831935;0.4521561;-0.08291018;0.0181737;0.1388937
56.86287;56.86287;0.0460602;0.7650576;0.313288;-0.03686041;0.7832289;0.4521737;-0.08292061;0.0181713;0.1388857
56.88733;56.88733;0.04608923;0.7650656;0.3133726;-0.03683591;0.783235;0.4522518;-0.08292514;0.0181694;0.1388792
56.91021;56.91021;0.04616493;0.7650598;0.3133174;-0.0367578;0.7832311;0.4521981;-0.08292273;0.0181713;0.1388807
56.94123;56.94123;0.04619585;0.7651448;0.3129478;-0.03673562;0.7833135;0.451823;-0.08293147;0.0181687;0.1388752
56.96504;56.96504;0.04606312;0.7650853;0.3125179;-0.03685816;0.7832636;0.4513944;-0.08292128;0.0181783;0.1388765
56.99157;56.99157;0.0457577;0.7653011;0.3122212;-0.03720505;0.7834749;0.4510757;-0.08296275;0.0181738;0.1388545
57.01769;57.01769;0.04579049;0.7653158;0.3124146;-0.03715615;0.7834882;0.4512729;-0.08294664;0.0181724;0.1388583
57.03842;57.03842;0.04548442;0.7651906;0.3128082;-0.03746337;0.7833654;0.4516668;-0.08294779;0.0181748;0.1388586
