TotalTime;SegmentTime;XTran1
14.20655;0.028703;-0.1072286
14.23043;0.0525869;-0.1071156
14.25175;0.073902;-0.1070223
14.27575;0.0979045;-0.1072047
14.30327;0.1254263;-0.1073303
14.32256;0.1447113;-0.1072721
14.34813;0.1702871;-0.1072018
14.36849;0.1906436;-0.1073219
14.39699;0.2191415;-0.1074214
14.42218;0.2443322;-0.1074753
14.44347;0.2656279;-0.1076919
14.47145;0.2936023;-0.1081413
14.49943;0.3215863;-0.1083874
14.51868;0.3408386;-0.1084807
14.54205;0.3642079;-0.1082955
14.56674;0.3888925;-0.107875
14.58989;0.4120448;-0.1070221
14.61532;0.4374735;-0.1063061
14.64199;0.4641438;-0.1058684
14.66416;0.4863134;-0.1050429
14.69124;0.513399;-0.1040619
14.71274;0.5348929;-0.1021879
14.73724;0.5593924;-0.0999269
14.76234;0.584497;-0.09737384
14.78486;0.6070121;-0.09445547
14.80871;0.6308673;-0.09117553
14.83741;0.6595653;-0.08746083
14.85462;0.6767768;-0.08253754
14.88233;0.7044804;-0.07613403
14.90749;0.7296432;-0.07017481
14.93075;0.752906;-0.06653194
14.9487;0.7708588;-0.05660208
14.97749;0.7996407;-0.04856165
15.00319;0.8253405;-0.03946989
15.02991;0.8520695;-0.03204655
15.05268;0.8748349;-0.02508841
15.07509;0.8972418;-0.01813519
15.10027;0.9224225;-0.01006594
15.12552;0.947674;-0.002279192
15.15051;0.972669;0.005180165
15.17524;0.9973921;0.01188634
15.19715;1.019303;0.01874553
15.22066;1.042813;0.02818395
15.25251;1.074672;0.035147
15.27417;1.096326;0.04196721
15.29878;1.120934;0.04897463
15.32677;1.148926;0.05418955
15.35054;1.172699;0.05791014
15.37353;1.195686;0.06120674
15.39741;1.219563;0.06444747
15.41973;1.241886;0.06734679
15.44456;1.266713;0.06987594
15.476;1.298155;0.07189956
15.49934;1.321493;0.0739659
15.52028;1.342436;0.07494781
15.54355;1.365705;0.07532214
15.56621;1.388369;0.07649203
15.5925;1.414654;0.07802068
15.61702;1.439175;0.07962771
