TotalTime;SegmentTime;XTran1;YTran1;ZTran1
6.680667;0.6649;0.109281;0.6516206;0.7962075
6.705194;0.6894272;0.1090185;0.6515826;0.7962405
6.726926;0.7111594;0.108754;0.6512266;0.795904
6.743336;0.7275691;0.1079122;0.6506216;0.7964659
6.779407;0.7636399;0.1085319;0.6497674;0.7959731
6.803692;0.7879251;0.1088826;0.6489828;0.7956152
6.826112;0.8103447;0.109185;0.6485829;0.7955314
6.848748;0.8329811;0.109651;0.6480981;0.7956308
6.870992;0.8552247;0.1098516;0.6481535;0.7957963
6.888958;0.8731904;0.1096998;0.6481388;0.7957468
6.918702;0.9029352;0.1092977;0.6485878;0.7971441
6.950402;0.9346353;0.1096365;0.6486235;0.7976628
6.975436;0.9596694;0.1097704;0.6484132;0.7976944
6.995826;0.9800591;0.1104329;0.6478134;0.7972655
7.01993;1.004163;0.1108177;0.6477294;0.7968774
7.043509;1.027742;0.1111623;0.649258;0.7968956
7.070135;1.054368;0.1110801;0.6496189;0.7964123
7.093926;1.078159;0.110689;0.6492294;0.7963144
7.118579;1.102812;0.10988;0.6489379;0.7967467
7.143066;1.1273;0.1089698;0.6484735;0.7968397
7.168159;1.152391;0.1082639;0.6481253;0.7968415
7.192079;1.176311;0.1079863;0.6481328;0.7969216
7.213006;1.197238;0.1085048;0.6489354;0.7982271
7.24181;1.226042;0.108199;0.6488761;0.7981509
7.262761;1.246993;0.1080039;0.6478148;0.7972486
7.286402;1.270635;0.1084591;0.6465685;0.7968362
7.313012;1.297244;0.1085887;0.6462517;0.7967054
7.331736;1.315968;0.1097128;0.6471233;0.7965554
7.360651;1.344884;0.110396;0.6477566;0.7967147
7.384817;1.369049;0.1109462;0.6477468;0.7968944
7.409229;1.393462;0.1115987;0.6472361;0.7972565
7.438827;1.42306;0.1113842;0.6467654;0.7967626
7.461332;1.445565;0.1114126;0.6462629;0.7966601
7.479062;1.463294;0.1107078;0.6444116;0.7964932
7.512568;1.4968;0.1100715;0.6444305;0.7967892
7.535954;1.520186;0.1098015;0.6444724;0.7966182
7.559344;1.543577;0.1096357;0.6448271;0.7966008
7.583063;1.567295;0.1093385;0.6453966;0.796651
7.606271;1.590504;0.1091671;0.6457176;0.7968707
7.624516;1.608749;0.1091055;0.6463225;0.7975799
7.652225;1.636458;0.1092139;0.6464241;0.7977192
7.682535;1.666768;0.1093405;0.6463238;0.7973965
7.706305;1.690537;0.1086186;0.6462191;0.7970234
7.727582;1.711814;0.1093785;0.6465685;0.796969
7.750115;1.734347;0.1094675;0.6471367;0.796782
7.771953;1.756185;0.1096633;0.6472508;0.7964634
7.793891;1.778124;0.1098646;0.6471876;0.7963442
7.81636;1.800593;0.1097887;0.647101;0.7963101
7.833357;1.817589;0.1096933;0.6467876;0.7962647
7.856863;1.841096;0.1095322;0.6462442;0.7965038
7.885502;1.869735;0.1095336;0.6458097;0.7964534
7.90873;1.892962;0.1096465;0.6455927;0.7964872
7.930526;1.914759;0.1097443;0.6453266;0.7965174
7.95318;1.937413;0.1099199;0.6451126;0.7967808
7.991859;1.976092;0.1102568;0.6452838;0.7970786
