TotalTime;SegmentTime;XTran1;YTran1;ZTran1
15.31662;1.002598;0.1042005;0.6530327;0.800537
15.33491;1.020885;0.1039975;0.6533451;0.8009764
15.35341;1.039383;0.1035886;0.6544238;0.8018751
15.38294;1.06892;0.1033534;0.6550195;0.802498
15.4071;1.093078;0.1035447;0.6553063;0.8028743
15.43466;1.12064;0.1038118;0.6554899;0.802794
15.45393;1.139912;0.1043501;0.6550901;0.8022757
15.48653;1.172506;0.1043778;0.6539255;0.8014121
15.50712;1.193095;0.1045208;0.653156;0.8010161
15.53575;1.221723;0.10463;0.6533468;0.8010826
15.55393;1.239906;0.1046373;0.6536013;0.8013731
15.57837;1.264349;0.1047859;0.6529732;0.8022121
15.61279;1.298764;0.1044177;0.6526581;0.8015306
15.63577;1.321747;0.1042758;0.6525373;0.8012397
15.65407;1.340042;0.1037703;0.6527511;0.8004102
15.68316;1.369141;0.1037181;0.6532141;0.8007635
15.70295;1.388923;0.1021802;0.6533086;0.8021781
15.73571;1.421686;0.09985695;0.6529932;0.80211
15.75838;1.444359;0.09801079;0.6512895;0.8013256
15.78248;1.468458;0.0971643;0.6502436;0.7999625
15.80737;1.493344;0.09681286;0.6495035;0.7986809
15.83135;1.517325;0.09800532;0.6494433;0.7984604
15.854;1.53998;0.09882411;0.6496234;0.7986283
15.87155;1.557523;0.1013244;0.6495695;0.7997268
15.90416;1.590137;0.1025228;0.6490866;0.800009
15.92874;1.61472;0.1030337;0.6486034;0.80044
15.95342;1.639392;0.1022778;0.6495327;0.801318
15.99209;1.67807;0.1019198;0.6496743;0.8014783
16.01469;1.700668;0.1016846;0.6496973;0.8019005
16.0377;1.723682;0.1014632;0.6500901;0.8023897
16.06212;1.748102;0.101676;0.650329;0.8031253
16.08724;1.773213;0.1019861;0.6504205;0.8032626
16.10857;1.794545;0.1024231;0.6501877;0.8030162
16.1347;1.820679;0.1025827;0.6499739;0.802844
16.15437;1.840352;0.10287;0.6502557;0.8024193
16.18551;1.871488;0.1024872;0.6497173;0.8023683
16.20214;1.888115;0.1025099;0.6495863;0.8025533
16.22033;1.906312;0.1023293;0.65012;0.8026221
16.2497;1.935681;0.1022806;0.6509799;0.8031294
16.2793;1.965279;0.1022661;0.6515595;0.8036252
16.30195;1.98793;0.1021929;0.6517715;0.8039112
